mds_code,bookid,title,description
600,11222876,How Things Work (Science Library),"Introduces the technology behind buildings, bridges, transportation, computers, communications, microscopes and telescopes, lasers, X-rays, and entertainment devices."
600,1125029,The Gecko's Foot: Bio-inspiration: Engineering New Materials from Nature,"An analysis of the unlikely relationship between nature and scientific design reveals how such innovations as Velcro, solar panels, and self-cleaning surfaces were created to mimic intricate mechanisms found in the natural world."
600,1126139,"The Homesteader&#039;s Handbook: The Complete, Month-By-Month, How-To-Book for Farm, Garden, and Household","""This book is an absolutely charming compilation of articles taken from 1840s-1860s issues of the AMERICAN AGRICULTURIST, the foremost farming publication of its time. Within these pages is common sense, down-to-earth information presented in the respectful, almost poetic language of a bygone era. Plant it, raise it, harvest it, then put it by for the winter. Covers all aspects of home and barn building and upkeep, livestock raising, crop care, fencing, plowing methods, vegetable and flower gardening, plus such asides as how to harvest ice, how to smoke and cure meat, how to capture rainwater for home use, and much much more. All hints and methods are perfectly applicable to this day and age, especially for those who wish to simplify or simply make do. Articles are arranged in a monthly format, from January thru December. Thickly illustrated with lithographs and woodcuts of the era."" --provided by Amazon."
600,1136550,Classic Cars: 50 Years of the World's Finest Automotive Design (No. 05103),"""All motoring enthusiasts look back with nostalgia to the early years of motoring. Before the post-war years brought greater standardization, the motor car had a standard elegance and distinctive personality that have since been lost. Classic Cars, a magnificently illustrated record of these glamourous automobiles, examines the finest models from pioneering days to the conclusion of tbe golden age of motoring at the end of the 30s.""--Publisher's description."
600,11629834,The Cat on the Chimney: Solving Problems with Technology (Realizations),Provides technological puzzles and the tools to solve them.
600,11661413,Inventions and Investigations (Sci-Hi: Physical Science),"An exploration of the scientific processes used by inventors that describes how a number of inventions were created, discussing light bulbs, electronics, the Internet, plastics, and more."
600,11755306,"How Cool Is This? An Up-close, Inside Look At How Things Work",Explains the scientific ideas and discoveries behind some of the world's coolest inventions and natural wonders.
600,1197441,Reader's Digest How in the World?,"Explanations of the basic principles behind technological wonders with over 1,000 photographs and diagrams show the extent of human ingenuity."
600,11996191,The Farm,Pictures show various animals on Miss MacDonald's farm with text being the words to what is traditionally Old MacDonald had a farm.
600,12020577,Make: Technology on Your Time Volume 28,"The first magazine devoted entirely to do-it-yourself technology projectspresents its 28th quarterly edition for people who like to tweak, disassemble, recreate,and invent cool new uses for technology. Express your inner child with MAKE Volume 28, featuring toys and games. Any maker can tell you that lots of experimentation and play time are essential to developing brainpower and creativity. This issue pays tribute to the beloved toys and games you grew up with and their evolution through technology."
600,12171982,Baffling & Bizarre Inventions,"Presents a series of unusual inventions, along with description of how they worked including such items as a transparent travelling sphere, a machanical dance partner, talking watch, and portable sleeping cushion."
600,12266416,"Sorted! Robots, Chips and Techno Stuff","A whirlwind tour of modern technology with none of the boring bits!A whirlwind tour of modern technology with none of the boring bits!Technology: Sorted! What's inside a laptop? How can you stuff 1,000 CDs into an mp3 player? Who built the Internet? How smart is the world's smartest robot? How do smartphones and TV remote controls work? The answers to these and other brilliant questions about technology can be found in this funny and fascinating book. Packed to capacity with megabytes of marvellous information, this book explores everything from the first simple engines to the latest gadgets, computers and networks.Technology: Sorted! What's inside a laptop? How can you stuff 1,000 CDs into an mp3 player? Who built the Internet? How smart is the world's smartest robot? How do smartphones and TV remote controls work? The answers to these and other brilliant questions about technology can be found in this funny and fascinating book. Packed to capacity with megabytes of marvellous information, this book explores everything from the first simple engines to the latest gadgets, computers and networks."
600,12313746,Mira como he crecido / Look At How Much I Have Grown (Ricardetes) (Spanish Edition),A little girl looks at pictures with her brother and marvels at how much she has grown.
600,12344223,Great Idea! BOLDPRINT,Describes different inventions and discoveries throughout history.
600,12530741,Mountain wolf,"From the author of MARRYING AMEERA comes a gritty new story about the child slave trade in Pakistan and one boy's fight for freedom. Ages: 12+ Razaq Nadeem lives in the tribal area of Kala Dhaka, known as Black Mountain, in Pakistan. When an earthquake strikes the area, and his family is lost, Razaq is told by his dying father to flee to Rawalpindi, where his uncle Kamil lives. In the aftermath of the quake, all is chaos. Razaq attends a school set up by aid workers for the homeless, learns some English and helps with the younger boys. But danger is around every corner. Razaq is sold into slavery by a man preying on orphans in the area, and desperate to escape the virtual imprisonment of washing dishes in a teashop for no wages, he heads for the streets, only to be betrayed and returned. Razaq's unusual and exotic looks attract the attention of a customer at the teashop, with disastrous results. Sold once more, he must watch as Tahira, a girl he becomes fond of, is sold to a rich man. Razaq and Tahira meet again, but despair of their fate as they grow older. A way out is eventually offered by Majeed, a social worker, but only after a hair-raising escape.From the author of MARRYING AMEERA comes another powerful and confronting book that deals with social justice for disenfranchised young people who have no voice or power as they bartered and sold for sex."
600,12540784,"Technology In Action, Complete (4th Edition) (Go!)",For introductory courses in computer concepts or computer literacy often including instruction in Microsoft Office. A Computer Concepts Text Focused on Today's Student Technology in Action engages students by combining a unique teaching approach with rich companion media.
600,12541018,Introductory Technology in Action (5th Edition),"A Computer Concepts Text Focused on Today’s Student! Technology in Action engages students by combining a unique teaching approach with rich companion media. History of the personal computer, virtual computer tour, blogging, file compression and management, installing RAM, installing a computer network and firewall, PDA’s, computer architecture, creating and improving an Access database, and constructing a simple Web page. For professionals seeking to enhance their knowledge of computer concepts and literacy."
600,12671348,Technology: A byte-sized world!,Presents brief explanations of inventions used in our everyday modern lives.
600,1267458,The Usborne Book of Discovery: Inventors/Scientists/Explorers,"Follow Livingston into the jungles of Africa and join Hillary on the peak of Everest, read about the men who risked all in the first flying machines, and marvel at the ideas of brilliant scientists from Artistotle to Einstein. 'The Usborne Book of Discove"
600,12691580,Inventions (Freaky Fact or Fiction),"A fun way for kids to find out the answers to all sorts of perplexing questions. Each page contains a fascinating fact - or is it fiction? The reader is asked to tick the box, then check their answers at the end of the book. Each ""fiction"" answer is explained, with sources provided for each item. Kids will love testing themselves and their friends."
600,1276776,Theodore&#039;s Best Friend (Jellybean Books),Theodore Tugboat learns about friendship when he tries to decide who his best friend is.
600,12879804,See Inside Inventions (An Usborne Flap Book),"This title tells the wonderful, mysterious and often funny stories behind famous inventions. Flaps reveal lovingly detailed artwork to show the hidden workings inside inventions and carefully researched text explains the differences between discovery, invention and innovation, and how these three aspects unite."
600,12947553,Technology (Scholastic Discover More),"Investigates the science behind technology, taking readers on a journey of discovery that they will never forget. It uncovers the smart tech of mobile phones, wi-fi, and GPS, as well as the inner workings of game consoles."
600,13070387,The Big Book of Hacks: 264 Amazing DIY Tech Projects,"Science. Technology. Engineering. Nonfiction. HTML: Ingenious (and hilarious) projects that aspiring makers will love, brought to you by the tinkerers at Popular Science magazine. From useful, doable gadgets to outlandish contraptions that you'd likely be wise to avoid, this showcase of ingenuity is an entertaining tribute to the inventive spirit. In this book from the science and technology magazine that's been inspiring everyday people for nearly 150 years, you'll discover: Geek Toys: Be the life of any party with rad gaming hacks, amazing pyrotechnics, quirky DIY robots, wow-inducing projectiles, and lots of ways to make beer even better. Home Improvements: Pimp out your pad with a laser-security system, an improvised sous-vide cooker, and a life-sized cardboard display of anyone you want. Gadget Upgrades: Want to stash a flash drive in an old cassette? Use a DIY stylus on a touchscreen? Improvise a fisheye lens for your camera? With this book, you can. Things That Go: Give your motorbike a Tron vibe, deck out your car with an action-figure hood ornament, and keep gadgets charged on the go with a solar-powered backpack. ...and much more! ."
600,13101137,Elmo's Neighborhood: The Supermarket,Elmo's mommy sends him to the supermarket to buy some groceries and he just can't resist adding one extra item to the list.
600,13139700,Infectious Diseases Selected Entries from the Encyclopedia of Sustainability Science and Technology,"Infectious Diseases: Selected Entries from the Encyclopedia of Sustainability Science and Technology presents authoritative, peer-reviewed contributions from leading experts on a wide range of major infectious diseases of global importance. Infectious diseases account for more than 17 million deaths each year worldwide. While modern medicine and technology have diminished the threat of many of these pathogens in high-income countries, the ever present threats of re-emerging infections, population mobility, natural disasters, and pathogen genetic variability are but some of the reasons for the dynamic threat of this broad category of risks to human health. An indispensable resource for students and scientists, the volume also covers some of the new technologies currently under development for infectious disease prevention, treatment, and eradication. The greater part of the infectious disease burden remains in the tropics, where low and middle-income countries lack the resources, infrastructure, and health systems to mount or sustain control efforts. Many contributions describe the efforts of the scientific research community and international donor agencies to achieve the integrated goals of vigilant surveillance, improved and cost-effective diagnostics, and treatment for sustainable disease control. Describes the dynamic nature of infectious disease agents and their complex interactions with the environment and their�human and animal hosts Covers new technologies for antibiotics, vaccines, and treatment Features several contributions on waterborne infectious diseases, including enteric viruses and bacterial pathogens in the ocean Provides an excellent introduction for those entering the field, as well as new insights for advanced researchers and industry experts."
600,1345326,"The Plague Race: A Tale of Fear, Science and Heroism","An inspiring story of scientific endeavour and human bravery, ""The Plague Race"" is the story of one brave scientist who made an amazing discovery made in Hong Kong 100 years ago -- during an outbreak of the plague that threatened to decimate the island and, from there, the world. A tense and frightening race was run in appalling conditions by two rival scientists: Alexandre Yersin - rigorous, solitary, cerebral - and the suave Kitasako, unscrupulous, enigmatic, careless. Spiced with anecdotes, facts and chilling reconstructions, this book is an enthralling work of narrative history. And Marriott's investigations into plague in the modern world bring some disturbing facts to light . . . 'Beautifully written . . . Marriott's discourse encompasses empire, science and discovery as well as prejudice . . . The Plague Race is part history, part thesis, part thriller. As an investigation, it is all-entrancing' Observer"
600,13554812,The Essential Tea Guide,"While those living in Asia have known about the health benefits of a wide range of teas and herbal teas for centuries, it is only over the last few decades that the western world has really woken up to both the benefits and enjoyment of these wonderful drinks.This guide will take you through the differences and health benefits of over two hundred and thirty different teas, tisanes and herbal teas, as well as how best to prepare them. So sit back, prepare your favorite cup, and prepare to become a tea expert!"
600,13626972,The Shark's Paintbrush: Biomimicry and How Nature is Inspiring Innovation,An introduction to the scientific practice through which natural models are inspiring innovative solutions to pressing industrial challenges examines such examples as wind turbines based on whale fins and cockroach-emulating prosthetic limbs.
600,1367122,Technology (Eyewitness Books),"Explores different technologies, from ancient times to the present, and discusses how technology affects society."
600,137144,TechTV's Catalog of Tomorrow,"Change is everywhere around us, transforming the way we will live, work, play, and learn. By using technology as a backdrop to entertain, amaze, and engage viewers, TechTV is the lifestyle network that showcases how the trends, products, and events enhance our lives. This title offers a glimpse at the trends and technologies that shape our lives."
600,13718439,How Does It Work? (Collins Big Cat),"An engaging workbook for children who are using the Big Cat series. These workbooks accompany the popular Collins Big Cat series. They enable children to practise and reinforce the target vocabulary and language structures presented in each corresponding Collins Big Cat reader through enjoyable puzzles, games and activities, as well as through more traditional comprehension exercises. Tracing, copying and eventually free-writing tasks build and develop children's writing skills as they progress through the Bands, Pink A to Lime. A fun quiz to test understanding, and a reward certificate at the back of each Workbook, enable children to feel a sense of progress as they learn to read more confidently in English."
600,1383480,Stephen Biesty's Incredible Explosions: Exploded Views of Astonishing Things,"Text and cross-section illustrations present inside views of a variety of subjects including a space station, airport, and windmill."
600,13874950,The Bluejacket's Manual,"From the days of oars and coal-fired engines to the computerized era of the twenty-first century, The Bluejacket's Manual has been an essential part of the American Sailor's sea bag for more than one hundred years, serving as an introduction to the Navy for new recruits and as a reference book for Sailors of all ranks. Written by a Sailor whose decades of naval service included sea duty in patrol craft, destroyers, and aircraft carriers as both an officer and a ""white hat,"" this newest edition has been overhauled to reflect the current state of the ever-evolving U.S. Navy, adding such things as camouflage uniforms, new ratings, and the Navy Professional Reading Program. Primarily intended to serve Bluejackets, this book will also be welcomed by potential recruits, Navy buffs, and a growing number of Bluejacket's Manual collectors."
600,138825,The Backroom Boys: The Secret Return of the British Boffin,"A brilliant, beautiful account of how British boffins triumphed across the decades in creating everything from computer games to Martian landers. The book contains chapters on the Beagle II, Elite - the 80s computer game, the Blue Streak missile, Concorde, mobile phone technology and the Human Genome Project, among others. Britain is the only country in the world to have cancelled its space programme just as it put its first rocket into orbit. Starting with this forgotten episode, 'Backroom Boys' tells the bittersweet story of how one country lost its industrial tradition and got back something else. Sad, inspiring, funny and ultimately triumphant, it follows the technologists whose work kept Concorde flying, created the computer game, conquered the mobile-phone business, saved the human genome for the human race - and who now are sending the Beagle 2 probe to burrow in the cinnamon sands of Mars. 'Backroom Boys' is a vivid love-letter to quiet men in pullovers, to those whose imaginings take shape not in words but in mild steel and carbon fibre and lines of code. Above all, it is a celebration of big dreams achieved with slender means."
600,139172,FAB: The Coming Revolution on Your Desktop--From Personal Computers to Personal Fabrication,"What if you could someday put the manufacturing power of an automobile plant on your desktop? It may sound far-fetched-but then, thirty years ago, the notion of ""personal computers"" in every home sounded like science fiction. According to Neil Gershenfeld, the renowned MIT scientist and inventor, the next big thing is personal fabrication the ability to design and produce your own products, in your own home, with a machine that combines consumer electronics with industrial tools. Personal fabricators (PF's) are about to revolutionize the world just as personal computers did a generation ago. Personal fabricators (PF's) are about to revolutionize the world just as personal computers did a generation ago. PF's will bring the programmability of the digital world to the rest of the world, by being able to make almost anything-including new personal fabricators. In FAB, Gershenfeld describes how personal fabrication is possible today, and how it is meeting local needs with locally developed solutions. He and his colleagues have created ""fab labs"" around the world, which, in his words, can be interpreted to mean ""a lab for fabrication, or simply a fabulous laboratory."" Using the machines in one of these labs, children in inner-city Boston have made saleable jewelry from scrap material. Villagers in India used their lab to develop devices for monitoring food safety and agricultural engine efficiency. Herders in the Lyngen Alps of northern Norway are developing wireless networks and animal tags so that their data can be as nomadic as their animals. And students at MIT have made everything from a defensive dress that protects its wearer's personal space to an alarm clock that must be wrestled into silence. These experiments are the vanguard of a new science and a new era-an era of ""post-digital literacy"" in."
600,14001301,Uncle John's Bathroom Reader Weird Inventions,"From the nation's top collector of curious and interesting information comes a book of strange gadgets you never knew existed. The writers behind Uncle John's Bathroom Reader present this totally true treasury of amazing gizmos--devilish devices you never knew existed, created by people who thought the world absolutely needed what they had to offer and sell. Read all about: * The onesie that turns your crawling baby into a mop * The fart-stifling blanket * The square watermelon * The video game you control with your mind * The weight loss device that sucks food out of your stomach"
600,14030736,"How to Build a Hovercraft: Air Cannons, Magnetic Motors, and 25 Other Amazing DIY Science Projects","""From the Diet Coke and Mentos fountain makers who found initial fame via YouTube and the Maker Faire comes this collection of 25 awesome projects guaranteed to inspire a love of scientific experimentation. Fritz Grobe and Stephen Voltz, also known as EepyBird, share some amazing DIY projects: a Diet Coke and Mentos fountain of Bellagio proportions, a leaf blower hovercraft, a paper airplane that will fly forever, and many more. Each experiment features instructions that will take users from amateur to showman level--there's something here for all skill levels--alongside illustrations, photographs, and carefully explained science. EepyBird's 25 Amazing Science Projects includes everything needed to create an exciting and impressive scientific production!""--"
600,141798,Levitating Trains & Kamikaze Genes : Technological Literacy for the 1990s,"A lively survey of the horizons of modern technology. Provides easy-to-read summaries of the state of the art in space science, biotechnology, computer science, exotic energy sources and materials engineering as well as life-enhancing medical advancements and environmental, transportation and defense/weapons technologies. Each chapter explains how a current or future technology works and provides an understanding of the underlying scientific concepts. Includes an extensive self-test to review your knowledge."
600,14212625,Inventions in Science and Technology (Inventions),"""Tells the history of inventions that have advanced science and technology, from the microscope and telescope to supercomputers, lasers, and genetic fingerprinting""--Provided by publisher."
600,1434767,Where everyday things come from (A Child guidance book),"Discusses the origins of such everyday items as rubber, glass, paint, salt, soap, and electricity."
600,14353966,Make: Technology on Your Time Volume 36: All About Boards,"Boards, Boards, Boards! It's all about the boards that are rocking the Maker world. We're in a gold rush of controllers and mini-computers, putting raw power into your hands and giving you the ability to express whatever your imagination can suggest. What was once the domain of giant electronics manufacturers only a few years ago can now be shipped to you overnight to play with, and help you develop your own amazing projects. Do your think Arduino is il migliore? Do you salivate for a piece of Raspberry Pi? Does your tail wag at the idea of a BeagleBone? In MAKE Volume 36, we're taking a deep dive on the boards that are fueling a new smart device revolution. From workshop hobbyists to the innovators taking accessible technology to new levels, people are hungry for the scoop on this rapidly-iterating field, and if you want to get in front of the smartest makers around, this issue is for you."
600,14372,Dr.Riemann's Zeros,"In 1859 Bernhard Riemann, a shy German mathematician, wrote an eight-page article, suggesting an answer to a problem that had long puzzled mathematicians. For the next 150 years, the world's mathematicians have longed to confirm the Riemann hypothesis. So great is the interest in its solution that in 2001, an American foundation offered a million-dollar prize to the first person to demonstrate that the hypothesis is correct. Karl Sabbagh's book paints vivid portraits of the mathematicians who spend their days and nights on the race to solve the problem."
600,14415421,Could a Robot Make My Dinner? And Other Questions About Technology (Read Me!: Questions You Never Thought You'd Ask),"Could a robot make my dinner? Why do we need rockets to go into space? Why don't cranes fall over? This book takes a fun look at technology by asking and answering a series of quirky yet thought-provoking questions such as these! Although primarily a recreational read, the book nevertheless contains a wealth of fascinating information and bizarre facts about technology that readers will be sure to find captivating."
600,1442258,Essential Atlas of Technology,"Here is an attractively illustrated summary of human technology and its development, from ancient water wheels and primitive housing structures to today's electronic instruments and modern office and apartment buildings. Summary explanations and cross section illustrations describe automobiles and internal combustion engines, diesel-powered trains, turbine engines, the development of aircraft, the evolution of maritime transportation from sailing vessels to hydroplanes and submarines, communications systems, photography, computer technology, lasers and their applications, robotics, and much more. Hundreds of color photos and illustrations combine with succinct descriptions make this a fine reference supplement for classrooms and libraries."
600,14502853,The Best Australian Science Writing 2013,"Contributions from neuroscientists, climate commentators, psychologists, and science journalists share the billing with pieces from comedians, novelists, and poets in this collection of the best science writing in Australia. Rather than dry or abstract scientific theory, these essays address relevant, engaging, even entertaining topics such as Could the dodo make a comeback? What does science have to say about the sex in Fifty Shades of Grey? Is giving up meat really the greenest option? Do birds make art? and"
600,14509089,Shark attack,"""A grey nurse shark colony is under attack - an old mining dam has collapsed in a savage storm, sending a flood of toxic mud towards their breeding ground! Leo and Mozz need to rescue the sharks before it's too late! But when SkyTiger falls into trouble, will Leo and Mozz be the ones who need rescuing?"" -- Back cover."
600,14547727,First Library of Knowledge - Everyday Science,"Enjoy engaging and easy-to-understand information on curricular subjects geared to elementary students: dinosaurs, insects, the solar system and more. An oversized format dramatically illustrates concepts from moon phases to metamorphosis."
600,1463906,Handy Farm and Home Devices and How to Make Them,"""By far the best of its type...that's crossed my desk in ten years of dealing with such books."" —J. Baldwin, Technical Editor, CoEvolution Quarterly Want to know how to make a hacksaw, build a ladder, mix cement? How to lay bricks, raise sagging beams, insulate and waterproof walls? How to recane furniture, cut glass, make an iceless cooler or a fireless cooker? How to split logs with explosives, how to roof a haystack, stretch a frame, aerate stale well water? How to dip a sheep, tie a colt, teach chickens to roost, and stop dogs from chasing cars? How to plant fruit trees, how to mark seed rows, how to make a lawn settee? How to clean shoes, open stubborn jars, fly-proof a house? The how-to's and what-with's of all these projects and hundreds more carefully illustrated farm- and home-tested tips are to be found in the pages of Handy Farm and Home Devices and How to Make Them."
600,1467571,I is for Idea: An Inventions Alphabet,"An A to Z introduction to modern inventions such as computers, microwave, umbrella, zipper and many more. Each invention is introduced with a poem and includes detailed-filled expository text."
600,14823996,The Best of Technology Writing 2006,"The Best of Technology Writing 2006 brings together some of the most important, timely, and just plain readable writing in the fast-paced, high-stakes field of technology. The first annual collection to target this vibrant and versatile area, The Best of Technology Writing 2006 features innovative work from an unusually diverse array of writers: best-selling authors, noted academics, and indie journalists and bloggers. The culmination of an open, on-line nominating process, this collection covers topics ranging from jetpacks, to the ethics of genetically cloned pets, to the meaning of life in the information age. By turns epic and intimate, serious and playful, The Best of Technology Writing 2006 captures the vitality, importance, and complexity of technology today."
600,148550,"Workshop Formulas, Tips and Data","Contains workshop formulas, tips and data for home repair techniques."
600,14937816,Understanding the Inventions that Changed the World,"History is made not only by kings, queens, presidents, and generals, but equally by inventors and the technological powers they unleash. This course explores the inventions that have changed the world from prehistoric times to the 21st century. Along with recounting famous inventions such as the steam engine, airplane, atomic bomb and computer chip, these lectures explore a number of surprising innovations, including beer, pagodas, indoor plumbing and department stores."
600,14967073,Tinkerlab: A Hands-On Guide for Little Inventors,"Features creative experiments designed to encourage young children to use their natural curiosity to explore, test, play, and tinker."
600,14984215,Batman Science: The Real-World Science Behind Batman's Gear (DC Super Heroes),"""Explores the real-world science and engineering connections to the features of Batman's Batsuit, Utility Belt, road vehicles, and aircraft""--"
600,15094753,Popular Mechanics Gadget Planet: 150 Gizmos & Inventions that Changed the World,"These gadgets changed the world! In 2011, Popular Mechanics gathered a panel of experts, including esteemed inventors, designers, tech gurus, even a moonwalking astronaut, to create a definitive list of 101 gadgets that changed the course of history. The feature was so popular that it became a History Channel TV special and a PM iPad app. Now, the magazine's editors have finally expanded and updated that list, adding 49 new entries. Ranging from the microscope, bicycle and transistor radio to the hearing aid, electric guitar and Roomba, this compilation is sure to fuel debates, especially when it comes to the 10 top choices. (Spoiler alert: The smartphone clocks in at No. 1!)."
600,15109444,El abecé visual de los inventos que cambiaron el mundo 1 (Colección Abecé Visual) (Abece Visual) (Spanish Edition),"An entertaining 20-title series that helps young readers master the basics of a variety of history/social studies, science, and technical subjects. Simple and short yet rigorous informational texts and lively illustrations and diagrams engage even the most reluctant readers."
600,15808503,All About Ships,"Explore the history of America through personal and collective journeys. Offering a blend of political and social histories, THE AMERICAN JOURNEY shows that our attempt to live up to our American ideals is an ongoing journey-one that has become increasingly more inclusive of different groups and ideas. With a goal of making American history accessible, the authors offer a strong, clear narrative and provide the reader with the tools they need to understand history."
600,15962615,Confidence of a Champion: Becoming Who You Were Created to Be By Letting Go of Lies From the Past,"Tim Marks's second book, Confidence of a Champion , just released in June, 2013, is an epic follow-up to his extremely successful and popular first, Voyage of a Viking . Tim provides a powerful exposition on building confidence that will help you learn to recognize your own self worth and value. Let him show you how to become the person that you've always wanted to be! This book will leave you encouraged, full of hope, and ready to unleash the spirit within to show the world your strengths and talents. Always encouraging, Tim's powerful exposition on building confidence will help you learn to know your worth as you recognize your strengths, talents and inherent value as a unique and irreplaceable being."
600,15975279,Futureworld: Tomorrow's Technology Today,"Where will we be in 2025? This book reveals the technology that's in prototype today, and will be commonplace tomorrow. Whether it's flying cars, space tourism, nanobots or airships, it reveals an exciting and totally real vision of a future that is almost within our grasp."
600,16039360,National Geographic Kids Books of How Things Work,"How does that work? It's a question parents hear constantly from kids. With these fun0filled pages, parents can give level-appropriate, fascinating, true answers. Bright and colorful pictures bring a child's world to life while satisfying kids' curiosity and sense of fun. Questions encourage interactivity and further learning, and Parent Tips extend the experience beyond the book! . -- Back cover."
600,16523585,Best of Make: Volume 2: 65 Projects and Skill Builders from the Pages of Make:,"After ten years, Make: has become one of most celebrated magazines to hit the newsstands, and certainly one of the hottest reads. If you're just catching on to the Maker Movement and wonder what you've missed, this book contains the best projects and articles from the magazine. Find out what keeps Makers coming back to Make: with this assortment of DIY projects and articles selected by Make:'s editors. Learn to: Outfit your workshop and make some must-have tools Build electronic projects from actuators to antennae Make things with Arduino and Raspberry Pi Create drones and robots Build noisemaking projects and musical instruments Augment your photo and video capabilities Make your own food, soap, ink, and more"
600,16535322,Eureka: How Invention Happens,"This witty and inspiring book chronicles the long history of discovery and ingenuity which gave rise to a ""eureka moment"" when a dream of invention became a reality for the first time Tracing the long pre-history of five twentieth-century inventions which have transformed our lives, Gavin Weightman reveals a fantastic cast of scientists and inspired amateurs whose ingenuity has given us the airplane, television, bar code, personal computer, and mobile phone. Not one of these inventions can be attributed to a lone genius who experiences a moment of inspiration. Nearly all innovations exist in the imagination before they are finally made to work by the hard graft of inventors who draw on the discoveries of others. While the discoveries of scientists have provided vital knowledge which has made innovation possible, it is a revelation of Weightman's study that it is more often than not the amateur who enjoys the ""eureka moment"" when an invention works for the first time. Filled with fascinating stories of struggle, rivalry, and the ingenuity of both famous inventors and hundreds of forgotten people, Weightman's captivating work is a triumph of storytelling that offers a fresh take on the making of our modern world."
600,16776195,Hair Disaster,Ella and Olivia are sisters. Ella is seven years old. Olivia is five-and-a-half years old. They live with their mum and dad and little brother Max. Olivia is helping Ella get ready for her ballet concert. But what will Ella do when her new hairstyle turns into a hair disaster.
