DDC,Title,description
351,Master the Civil Service Exams,"Master the Civil Service Exams offers complete test preparation for the written exam so you can pursue a government job. Math, verbal and clerical exercises, plus four full-length practice tests, build skills and confidence, while experts in the field provide an inside scoop on how to become a first-rate job candidate. You will also find up-to-date information on the civil service job market and projected areas of growth."
351,Rethinking Public Institutions in India,"This work provides an analytical overview of the institutional foundations of the Indian state. By drawing on the insights of some of the most knowledgeable scholars and practitioners with deep knowledge of the Indian bureaucracy, this volume provides a comprehensive and incisive introduction to the functioning of the Indian state, relying on interdisciplinary approaches and decades of practitioner experience. It will be an indispensable guide to understanding Indias capacity to navigate the far-reaching transformations underway."
351,"Electronic Participation Second International Conference, ePart 2010, Lausanne, Switzerland, August 29 - September 2, 2010. Proceedings","The International Conference on eParticipation is supported by IFIP WG 8. 5 (Inter- tional Federation for Information Processing Working Group 8. 5 on Information S- tems in Public Administration). Organized annually, it is a show-case for research and practice in the multidisciplinary ?eld of eParticipation. ePart is committed to reviewing research advances and case studies in social and technologicalscienti'c domains, seeking to demonstratenew concepts, methods, styles and enabling technologies of eParticipation. It brings together researchers from a wide range of academic disciplines and provides the scienti'c community with a platform for discussing and advancing the latest research ?ndings. ePart 2010 continued the success of the last ePart conference. The ePart 2009 p- ceedings contained 16 completed, research papers published by Springer in LNCS vol. 5694 and 20 ongoing research, project and development papers published by Trauner Druck. This year the ePart 2010 Springer proceedings brings together 19 completed, c- prehensive research papers from researchers around the globe. The papers have been clustered around the following headings: - Foundations and Visionary - eParticipation Initiatives - Understanding and Evaluating eParticipation - Information and Communication Technologies and eVoting Included in this volume are papers that introduce new participation models based on advanced information and communication technologies, investigate the potential of social networking, present evaluation frameworks and assessment outcomes, critically analyze eParticipation initiatives around the globe, and demonstrate how cutting-edge technology can facilitate eParticipation."
351,"Cages of Reason: The Rise of the Rational State in France, Japan, the United States, and Great Britain","Blending political, historical, and sociological analysis, Bernard S. Silberman offers a provocative explanation for the bureaucratic development of the modern state. The study of modern state bureaucracy has its origins in Max Weber's analysis of the modes of social domination, which Silberman takes as his starting point. Whereas Weber contends that the administration of all modern nation-states would eventually converge in one form characterized by rationality and legal authority, Silberman argues that the process of bureaucratic rationalization took, in fact, two courses. One path is characterized by permeable organizational boundaries and the allocation of information by ""professionals."" The other features well-defined boundaries and the allocation of information by organizational rules. Through case studies of France, Japan, the United States, and Great Britain, Silberman demonstrates that this divergence stems from differences in leadership structure and in levels of uncertainty about leadership succession in the nineteenth century. Silberman concludes that the rise of bureacratic rationality was primarily a response to political problems rather than social and economic concerns. Cages of Reason demonstrates how rationalization can have occurred over a wide range of cultures at various levels of economic development. It will be of considerable interest to readers in a number of disciplines: political science, sociology, history, and public administration. ""Silberman has produced an invaluable, densely packed work that those with deep knowledge of public administrative development will find extremely rewarding."" —David H. Rosenbloom, American Political Science Review ""An erudite, incisive, and vibrant book, the product of intensive study and careful reflection. Given its innovative theoretical framework and the wealth of historical materials contained in it, this study will generate debate and stimulate research in sociology, political science, and organizational theory. It is undoubtedly the best book on the comparative evolution of the modern state published in the last decade.""—Mauro F. Guillen, Contemporary Sociology"
351,"Politics, Patronage and Public Works: The Administration of New South Wales Volume 1, 1842-1900","Analyses government structures, functions, processes and personnel from 1842 to 1900. This volume is commissioned by the State Records Authority of New South Wales. The author's history locates administrative developments in their social and political context. She attempts a more sympathetic reading of the administrative challenges in a colony."
351,The Bureaucratization of the World in the Neoliberal Era: An International and Comparative Perspective,"""At the point where Max Weber meets Michel Foucault, Béatrice Hibou analyzes the political dynamics underlying a set of norms, rules, and procedures that form contemporary beurocracy. Neoliberal bureaucracy is a vector of discipline and control: even more, it produces social and political indifference. Under the pretext of depoliticization, this trend cannot hide the exercise of normalizing and excluding power. Bureaucratization is not something external to society: it unfolds through the very same actors who are its target and who, consciously or not, play an essential role in this process. Operating as it does through individuals, bureaucratization does not come 'from above': it is a much wider process of 'bureaucratic participation', a response to the need to voice material and vested interests and give answers to legitimate demands, as well as expressing the quest for efficiency, but it also reflects day-to-day conflicts and negotiations between actors. In this way, bureaucratic participation is constructed through power relations, and paradoxically relies on informalities that alone make the neoliberal art of government possible.""--Publisher's website."
351,"Electronic Government and the Information Systems Perspective First International Conference, EGOVIS 2010, Bilbao, Spain, August 31 - September2, 2010, Proceedings","In front of you are the proceedings of the First International Conference on Electronic Government and Information Systems Perspective, EGOVIS. This conference builts on the tradition of its predecessors, the Electronic Government Conferences (EGOV) under the DEXA umbrella, which have been ongoing for nine years, but it also - cluded some innovations. In view of the large number of electronic government c- ferences, we found it important to focus the scope of the conference a little and to increase the quality requirements. Hence this year’s conference featured a tougher review process and a smaller set of accepted papers. As a result, these proceedings contain the very best papers of 2010 covering various important aspects of electronic government and information systems used in the public sector. With an acceptance rate of less than 20% EGOVIS belongs to the top ten conferences in the world. The Program Committee accepted 13 full papers and 11 short papers, covering the most recent research trends in electronic government implementations, such as ICT for eGovernment services and monitoring, knowledge and content management systems for temporal and geo-spatial applications, interoperability for electronic government integrated architectures, decision and support tools for eDemocracy and direct parti- pation of citizens in the policy-making strategies, and Web 2. 0 and 3. 0 approaches for collaborative and transparent public sector services."
351,The World Almanac Library of American Government: The Cabinet and Federal Agencies,"Primary source documents, biographical sketches, easy-to-understand charts and graphs, time lines, and glossaries help describe the structure and responsibilities of the Executive Branch of the United States government."
351,The New Public Governance?: Emerging Perspectives on the Theory and Practice of Public Governance,"Despite predictions that 'new public management' would establish itself as the new paradigm of Public Administration and Management, recent academic research has highlighted concerns about the intra-organizational focus and limitations of this approach. This book represents a comprehensive analysis of the state of the art of public management, examining and framing the debate in this important area. The New Public Governance? sets out to explore this emergent field of research and to present a framework with which to understand it. Divided into five parts, the"
351,Power in the city : decision making in San Francisco,"San Francisco is a uniquely favored city, but its politics are beset with extraordinary problems. Power is divided among traditional and new minorities, a mayor with modest authority, and a large city bureaucracy guided by insensitive professional norms. The special San Francisco """"politics of profit"""" and ethnic conflict are complicated and profoundly influenced by such external forces as regional, state, and federal government, and by the force of a national."
351,What Washington Gets Wrong: The Unelected Officials Who Actually Run the Government and Their Misconceptions about the American People,"""Each year unelected federal administrators write thousands of regulations possessing the force of law. What do these civil servants know about the American people whom they ostensibly serve? Not much, according to this enlightening and disturbing study. The authors surveyed federal agency officials, congressional and White House staffers, and employees of various policy-making organizations about their attitudes toward and knowledge of the public. They found a significant chasm between what official Washington assumes they know about average Americans and the actual opinions and attitudes of American citizens. Even in such basic areas as life circumstances (e.g., income levels, employment, racial makeup) the surveys revealed surprising inaccuracies. And when it comes to policy issues--on such crucial issues as defense, crime, social security, welfare, public education, and the environment--officials' perceptions of the public's knowledge and positions are often wide of the mark. Compounding this ignorance is a pervasive attitude of smug dismissiveness toward the citizenry and little sense of accountability. As a result, bureaucrats tend to follow their own preferences without much reference to the opinions of the public. The authors conclude with recommendations to narrow the gap between official perceptions of the American public and the actual facts. These include shorter terms, rotation from the Washington beltway to local offices, compulsory training in the responsibilities of public office, and better civic education for ordinary citizens in the realities of government and politics""-- ""This book reveals a surprising ignorance on the part of unelected federal officials regarding the life circumstances and opinions of average Americans as well as an attitude of condescension""--"
351,Find Your Federal Job Fit,"""This little book shows you how to analyze your skills, experience, and values. It introduces you to the mission and values of key federal departments and agencies. And it tells you how to create a match between you and a target job destination.""--P. I"
351,Organizational behavior and public management,"Organizational Behavior and Public Management reveals how organizational behavior enables managers to direct resources that advance the programs and policies of public and government. This edition offers a public sector perspective of core topics, such as communication, decision-making, leadership, management ethics, motivation, organizational change, participation and performance appraisal. Contemporary Psychology called this book ""skillful and comprehensive...There is a need for a text like this...the device of juxtaposing theory and application is a sound one."" The authors discuss such topics as communication, decision making, worker participation and total quality management, organizational change, management systems, information, computers and organization theory in public management."
351,Key concepts in governance,Mark Bevir provides a clear introduction to the technical concepts and policies of contemporary governance through short definitional essays.
351,"Thatcher, Reagan and Mulroney : in search of a new bureaucracy","Savoie considers the war of reform waged by the leaders of these major industrial countries. Reagan declared that he had come to Washington to ""drain the swamp"" of bureaucracy, and set up the Grace Commission to investigate the operation of the U.S. government. Thatcher and Mulroney were equally committed to reform and initiated wide-ranging changes. By the end of the 1990s, the changes were dramatic. Many governments operations had been privatized in all three countries, and new management techniques had been introduced. In Great Britain, one observer judged that the changes were historically as important as the collapse of Keynesian economics.Is government now better in these countries, and was political leadership right in focusing on management of the bureaucracy as the villain? Savoie suggests that the reforms overlooked problems now urgently requiring attention and, at the same time, attempted to address non-existent problems. He combines theory and research based on sixty-two interviews, nearly all with members of the executive branch of the governments of Britain, Canada and the United States."
351,Public Institutions in India: Performance and Design (Oxford India Collection (Paperback)),"This volume is an analytical study of India's public institutions. It covers the Parliament, the Presidency, the Judiciary, the Comptroller and Auditor General, the Police, the Civil Service, and economic institutions like the Reserve Bank of India, the Finance Commission, the SEBI, the TRAI,and the Pay Commission."
351,The Chinese civil service; career open to talent?,None
351,Handbook of Public Administration: Concise Paperback Edition,"Critically reflecting on the utility of scholarly theory and the extent to which government practices inform the development of this theory, this text provides a selection of 30 original articles from the 'Handbook of Public Administration'."
351,From Machinery to Mobility Government and Democracy in a Participative Age,"The Westminster-stylized model of Parliamentary democratic politics and public service accountability is increasingly out of step with the realities of today ?s digitally and socially networked era. This book explores the reconfiguration of democratic and managerial governance within democratic societies due to the advent of technological mobility. More specifically, the traditional public sector prism of organizational and accountability ? denoted as ?machinery of government ?, is increasingly strained in an era characterized by smart devices, social media, and cloud computing. This book examines the roots and implications of the tensions between machinery and mobility and the sorts of investments and initiatives that have been undertaken by governments around the world as well as their appropriateness and relative impacts. This book also examines the prospects for holistic adaptation of democratic and managerial systems going forward, identifying the most crucial directions and determinants for improving public sector performance in terms of outcomes, accountability, and agility. Accordingly, the ultimate aim of this initiative is to contribute to the formation of intellectual foundations for more systemic reforms of public sector governance in Canada and elsewhere, and to offer forward-looking trajectories for government adaptation in shifting from a traditional prism of ?machinery ? to new organizational and institutional arrangements better suited for an era of 'mobility'."
351,Digitizing Government: Understanding and Implementing New Digital Business Models (Business in the Digital Economy),"For businesses large and small, investment in digital technologies is now a priority essential for success. Digitizing Government provides practical advice for understanding and implementing digital transformation to increase business value and improve client engagement, and features case studies from the private and public sectors."
351,Central Intelligence and National Security,None
351,What Is Government Good At?: A Canadian Answer,"Recent decades have shown the public's support for government plummet alongside political leaders' credibility. This downward spiral calls for an exploration of what has gone wrong. The questions, ""What is government good at?"" and ""What is government not good at?"" are critical ones - and their answers should be the basis for good public policy and public administration. In What Is Government Good At?, Donald Savoie argues that politicians and public servants are good at generating and avoiding blame, playing to a segment of the population to win the next election, embracing and defending the status quo, adding management layers and staff, keeping ministers out of trouble, responding to demands from the prime minister and his office, and managing a complex, prime minister-centred organization. Conversely, they are not as good at defining the broader public interest, providing and recognizing evidence-based policy advice, managing human and financial resources with efficiency and frugality, innovating and reforming itself, being accountable to Parliament and to citizens, dealing with non-performers, paying sufficient attention to service delivery, and implementing and evaluating the impact of policies and programs. With wide implications for representative democracy, What Is Government Good At? is a persuasive analysis of an approach to government that has opened the door to those with the resources to influence policy and decision-making while leaving average citizens on the outside looking in."
351,The Lattimore story,None
351,The future of public administration around the world : the Minnowbrook perspective,"A once-in-a-generation event held every twenty years, the Minnowbrook conference brings together the top scholars in public administration and public management to reflect on the state of the field and its future. This unique volume brings together a g"
351,Guide to the presidency and the executive branch,This comprehensive guide provides a wealth of facts and analysis and is the definitive source for researchers seeking an understanding of those who have occupied the White House and on the institution of the US presidency.
351,Hipótese de Incidência Tributária,None
351,Early Islamic Institutions: Administration and Taxation from the Caliphate to the Umayyads and Abbasids (Contemp. Arab Scholarship in the Social Sciences),"The rapid expansion of the early Islamic world is conventionally ascribed to a combination of perceptive military leadership and religious fervour. By looking at the administration and taxation which would be implemented by political rulers, Abd al-Aziz Duri demonstrates how these leaders were able to provide for growth, development and durability in a turbulent time, as well as efficient mechanisms for taxation and tax collection. Drawing on original research into the fiscal policies of this period, especially land tax and the tax on non-Muslim populations, Duri shows how different models evolved and renewed themselves. He examines the political systems that accompanied these fiscal regimes, and attitudes towards them. He also scrutinises the institutions which supported this remarkably coherent mode of governance, offering a new perspective on the relationship between politics and Islam in this formative period. By looking at these early Islamic institutions, Duri makes the argument that due to persistence of such organization, from the early Muslim conquests and the later Umayyad era to the end of 'Abbasid rule, the leaders of the time can be seen to be particularly politically and organizationally skilled. Duri's work makes a major contribution to our understanding of how Islam established itself and flourished as a lasting major force in the development of world history. Abd al-Aziz Duri (1919-2010) was Professor of History at the University of Jordan, having previously served as President of Baghdad University from 1963 to 1968. Among the most influential of his books on early Islam are The Economic History of Iraq in the Fourth Century AH (1948), An Introduction to the History of the Dawn of Islam (1949), and The Early Abbasid Period (1988), as well as treatises on Arab nationalism such as The Historical Roots of Arab Nationalism (1960) and The Historical Formation of the Arab nation: A Study in Identity and Consciousness (1987)."
351,State Secrets: Behind the Scenes of the 20th Century,"There is something very rewarding about stumbling on a secret - and even better if it reveals the cunning, humanity or plain eccentricity of those in power. Here the ""National Archives"" takes a glimpse behind the scenes of the twentieth century, presenting 80 stories of the 'news behind the news' on subjects from world war to political scandal to the royal teabags. This thought-provoking collection paints a rich portrait of the British ntional character as ti responded to a turbulent century, recalling some familiar institutions like Dad's Army and James Bond shedding new light on events we all think we remember."
351,A City Mismanaged: Hong Kong's Struggle for Survival,"A City Mismanaged traces the collapse of good governance in Hong Kong, explains its causes, and exposes the damaging impact on the community's quality of life. Leo Goodstadt argues that the current well-being and future survival of Hong Kong have been threatened by disastrous policy decisions made by chief executives and their principal officials. Individual chapters look at the most shocking examples of mismanagement: the government's refusal to implement the Basic Law in full; official reluctance to halt the large-scale dilapidation of private sector homes into accommodation unfit for habitation; and ministerial toleration of the rise of new slums. Mismanagement of economic relations with Mainland China is shown to have created severe business losses. Goodstadt's riveting investigations include extensive scandals in the post-secondary education sector and how lives are at risk because of the inadequate staff levels and limited funding allocated to key government departments. This book offers a unique and very powerful account of Hong Kong's struggle to survive."
351,"Military to Federal Career Guide, 2nd Edition (Military to Federal Guide (W/CD))",Accompanying CD-ROM includes templates of sample military federal resumes.
351,The Politics of Public Sector Reform From Thatcher to the Coalition,"The first comprehensive 'bird's eye' account of public sector reform supported by references from over 400 official sources, this book is an invaluable guide to all those in the public, private and voluntary sectors grappling with the twin challenges of managing public spending austerity and the pressure in response to transform public services."
351,La condición política de los funcionarios federales en Alemania Occidental : crónica administrativa,None
351,Current Trends in Analytical Psychology: Proceedings of the first international congress for analytical psychology,"Tavistock Press was established as a co-operative venture between the Tavistock Institute and Routledge & Kegan Paul (RKP) in the 1950s to produce a series of major contributions across the social sciences. This volume is part of a 2001 reissue of a selection of those important works which have since gone out of print, or are difficult to locate. Published by Routledge, 112 volumes in total are being brought together under the name The International Behavioural and Social Sciences Library: Classics from the Tavistock Press. Reproduced here in facsimile, this volume was originally published in 1961 and is available individually. The collection is also available in a number of themed mini-sets of between 5 and 13 volumes, or as a complete collection."
